onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.014858	6.359838	choice_computer	6.359838	2	low	2	4
9.268107	1.000000	outcome_computer_recip	6.359838	2	low	2	4
13.800328	16.310652	choice_stranger	16.310652	2	low	2	8
19.052660	1.000000	outcome_stranger_recip	16.310652	2	low	2	8
21.864227	24.275942	choice_computer	24.275942	4	low	4	8
28.616630	1.000000	outcome_computer_defect	24.275942	4	low	4	8
31.533718	34.110817	choice_stranger	34.110817	4	high	2	4
36.785496	1.000000	outcome_stranger_recip	34.110817	4	high	2	4
39.701860	42.176980	choice_stranger	42.176980	2	low	2	8
46.452263	1.000000	outcome_stranger_recip	42.176980	2	low	2	8
50.880722	52.893932	choice_computer	52.893932	4	high	2	4
56.132510	1.000000	outcome_computer_defect	52.893932	4	high	2	4
60.666390	62.643830	choice_stranger	62.643830	4	high	0	4
67.419130	1.000000	outcome_stranger_recip	62.643830	4	high	0	4
70.343000	72.610245	choice_stranger	72.610245	8	high	0	8
75.593630	1.000000	outcome_stranger_recip	72.610245	8	high	0	8
80.025566	82.276024	choice_friend	82.276024	8	high	2	8
86.777500	1.000000	outcome_friend_defect	82.276024	8	high	2	8
92.821140	95.392876	choice_friend	95.392876	2	low	2	8
99.571780	1.000000	outcome_friend_defect	95.392876	2	low	2	8
103.998405	106.159200	choice_computer	106.159200	4	low	4	8
109.251320	1.000000	outcome_computer_recip	106.159200	4	low	4	8
115.295180	117.526070	choice_friend	117.526070	4	high	2	4
120.547650	1.000000	outcome_friend_recip	117.526070	4	high	2	4
123.357070	125.875885	choice_computer	125.875885	2	low	2	8
130.109730	1.000000	outcome_computer_recip	125.875885	2	low	2	8
136.147640	139.042480	choice_computer	139.042480	8	high	0	8
144.397980	1.000000	outcome_computer_recip	139.042480	8	high	0	8
147.210560	149.425890	choice_computer	149.425890	8	high	0	8
153.963870	1.000000	outcome_computer_defect	149.425890	8	high	0	8
156.772500	159.325840	choice_computer	159.325840	2	high	0	2
165.025190	1.000000	outcome_computer_recip	159.325840	2	high	0	2
174.299330	176.827530	choice_friend	176.827530	2	high	0	2
182.551400	1.000000	outcome_friend_recip	176.827530	2	high	0	2
185.363500	188.058800	choice_friend	188.058800	2	low	2	8
190.614690	1.000000	outcome_friend_recip	188.058800	2	low	2	8
196.658170	198.759000	choice_friend	198.759000	8	high	4	8
203.410400	1.000000	outcome_friend_defect	198.759000	8	high	4	8
206.326890	208.475600	choice_stranger	208.475600	8	high	0	8
214.579470	1.000000	outcome_stranger_defect	208.475600	8	high	0	8
219.004700	221.091950	choice_computer	221.091950	2	high	0	2
225.756960	1.000000	outcome_computer_defect	221.091950	2	high	0	2
230.289410	232.694340	choice_stranger	232.694340	8	high	2	8
235.540940	1.000000	outcome_stranger_defect	232.694340	8	high	2	8
239.971740	242.259460	choice_friend	242.259460	8	high	4	8
246.723860	1.000000	outcome_friend_recip	242.259460	8	high	4	8
249.538540	251.825530	choice_friend	251.825530	8	high	2	8
254.789280	1.000000	outcome_friend_recip	251.825530	8	high	2	8
257.714720	259.876650	choice_stranger	259.876650	0	low	0	2
265.778320	268.225560	choice_computer	268.225560	2	low	2	8
271.031160	1.000000	outcome_computer_defect	268.225560	2	low	2	8
273.953000	275.992520	choice_stranger	275.992520	4	high	0	4
279.204350	1.000000	outcome_stranger_defect	275.992520	4	high	0	4
282.019320	284.358700	choice_friend	284.358700	4	high	2	4
287.270450	1.000000	outcome_friend_defect	284.358700	4	high	2	4
290.191440	292.459930	choice_stranger	292.459930	4	low	4	8
295.443420	1.000000	outcome_stranger_recip	292.459930	4	low	4	8
304.717040	306.825600	choice_friend	306.825600	8	high	0	8
309.969100	1.000000	outcome_friend_recip	306.825600	8	high	0	8
312.880550	315.174770	choice_stranger	315.174770	8	high	2	8
319.632350	1.000000	outcome_stranger_defect	315.174770	8	high	2	8
322.448880	324.475830	choice_friend	324.475830	2	high	0	2
329.200130	1.000000	outcome_friend_defect	324.475830	2	high	0	2
332.014740	334.359040	choice_friend	334.359040	4	high	0	4
338.767300	1.000000	outcome_friend_recip	334.359040	4	high	0	4
343.300230	346.758540	choice_stranger	346.758540	4	low	4	8
348.552640	1.000000	outcome_stranger_defect	346.758540	4	low	4	8
353.085800	354.941900	choice_stranger	354.941900	2	high	0	2
358.337800	1.000000	outcome_stranger_defect	354.941900	2	high	0	2
361.147980	363.092440	choice_computer	363.092440	4	high	0	4
366.400400	1.000000	outcome_computer_defect	363.092440	4	high	0	4
370.829220	373.075560	choice_friend	373.075560	8	high	0	8
376.081600	1.000000	outcome_friend_defect	373.075560	8	high	0	8
383.740570	385.758700	choice_friend	385.758700	4	high	0	4
388.991000	1.000000	outcome_friend_defect	385.758700	4	high	0	4
396.648440	398.676600	choice_computer	398.676600	8	high	2	8
403.401280	1.000000	outcome_computer_defect	398.676600	8	high	2	8
406.319340	408.525570	choice_stranger	408.525570	4	high	2	4
411.571900	1.000000	outcome_stranger_defect	408.525570	4	high	2	4
414.382660	416.841580	choice_computer	416.841580	4	high	0	4
419.635400	1.000000	outcome_computer_recip	416.841580	4	high	0	4
430.519960	432.841550	choice_computer	432.841550	2	low	2	8
437.269900	1.000000	outcome_computer_recip	432.841550	2	low	2	8
