onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod	Offer_pmod
4.609354	2	cue_social	n/a	16	-9	n/a	n/a	n/a
4.609354	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
11.457968	2	cue_social	n/a	16	-9	n/a	n/a	n/a
11.457968	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
19.002071	2	cue_nonsocial	n/a	32	7	n/a	n/a	n/a
19.002071	2	cue_nonsocial_high	n/a	32	7	n/a	n/a	n/a
25.938858	2	cue_social	n/a	32	7	n/a	n/a	n/a
25.938858	2	cue_social_high	n/a	32	7	n/a	n/a	n/a
32.668430	2	cue_nonsocial	n/a	16	-9	n/a	n/a	n/a
32.668430	2	cue_nonsocial_low	n/a	16	-9	n/a	n/a	n/a
39.502040	2	cue_nonsocial	n/a	16	-9	n/a	n/a	n/a
39.502040	2	cue_nonsocial_low	n/a	16	-9	n/a	n/a	n/a
46.334866	2	cue_nonsocial	n/a	32	7	n/a	n/a	n/a
46.334866	2	cue_nonsocial_high	n/a	32	7	n/a	n/a	n/a
53.985233	2	cue_nonsocial	n/a	32	7	n/a	n/a	n/a
53.985233	2	cue_nonsocial_high	n/a	32	7	n/a	n/a	n/a
60.938000	2	cue_social	n/a	16	-9	n/a	n/a	n/a
60.938000	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
68.468575	2	cue_nonsocial	n/a	32	7	n/a	n/a	n/a
68.468575	2	cue_nonsocial_high	n/a	32	7	n/a	n/a	n/a
77.734610	2	cue_nonsocial	n/a	32	7	n/a	n/a	n/a
77.734610	2	cue_nonsocial_high	n/a	32	7	n/a	n/a	n/a
85.474630	2	cue_social	n/a	32	7	n/a	n/a	n/a
85.474630	2	cue_social_high	n/a	32	7	n/a	n/a	n/a
92.343070	2	cue_social	n/a	32	7	n/a	n/a	n/a
92.343070	2	cue_social_high	n/a	32	7	n/a	n/a	n/a
99.172120	2	cue_social	n/a	16	-9	n/a	n/a	n/a
99.172120	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
106.775080	2	cue_social	n/a	16	-9	n/a	n/a	n/a
106.775080	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
114.449394	2	cue_social	n/a	16	-9	n/a	n/a	n/a
114.449394	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
121.309850	2	cue_social	n/a	16	-9	n/a	n/a	n/a
121.309850	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
128.017780	2	cue_nonsocial	n/a	16	-9	n/a	n/a	n/a
128.017780	2	cue_nonsocial_low	n/a	16	-9	n/a	n/a	n/a
138.968690	2	cue_social	n/a	16	-9	n/a	n/a	n/a
138.968690	2	cue_social_low	n/a	16	-9	n/a	n/a	n/a
148.251220	2	cue_social	n/a	32	7	n/a	n/a	n/a
