onset	duration	trial_type	response_time
8.441958	0.608768	event_friend_punish	2.272701
4.023136	2.272701	friend_face	2.272701
18.330553	0.606307	event_stranger_punish	0.524517
14.719983	0.524517	stranger_face	0.524517
31.444290	0.607144	event_friend_neutral	0.526314
26.218527	0.526314	friend_face	0.526314
36.481370	0.606425	event_friend_reward	0.624170
32.870740	0.624170	friend_face	0.624170
43.134770	0.604835	event_stranger_punish	0.534873
37.910060	0.534873	stranger_face	0.534873
49.779750	0.603486	event_computer_punish	0.424152
44.554160	0.424152	computer_non-face	0.424152
54.806587	0.604656	event_computer_punish	0.632852
51.195534	0.632852	computer_non-face	0.632852
59.844627	0.606163	event_stranger_reward	0.111197
56.234215	0.111197	stranger_face	0.111197
64.889600	0.605610	event_friend_punish	0.432529
61.279410	0.432529	friend_face	0.432529
73.965965	0.605205	event_stranger_reward	0.430572
69.548134	0.430572	stranger_face	0.430572
83.030700	0.603684	event_computer_reward	1.348024
78.613910	1.348024	computer_non-face	1.348024
90.488670	0.606140	event_friend_neutral	0.424394
86.071090	0.424394	friend_face	0.424394
98.757800	0.604100	event_stranger_neutral	0.632086
95.146720	0.632086	stranger_face	0.632086
105.399650	0.604546	event_computer_punish	0.522289
101.789770	0.522289	computer_non-face	0.522289
116.896010	0.605310	event_friend_punish	1.143496
111.670166	1.143496	friend_face	1.143496
122.742760	0.606450	event_stranger_neutral	1.037784
118.324630	1.037784	stranger_face	1.037784
127.773285	0.604885	event_computer_reward	1.049778
124.162750	1.049778	computer_non-face	1.049778
136.039750	0.604000	event_friend_reward	0.317370
132.428510	0.317370	friend_face	0.317370
142.691130	0.604600	event_stranger_punish	0.431845
139.080980	0.431845	stranger_face	0.431845
154.189090	0.603500	event_stranger_punish	0.634182
150.578630	0.634182	stranger_face	0.634182
160.032180	0.605420	event_stranger_punish	0.632069
155.614010	0.632069	stranger_face	0.632069
165.070590	0.604410	event_friend_reward	0.418614
161.460830	0.418614	friend_face	0.418614
173.328020	0.603560	event_computer_reward	0.726986
168.102510	0.726986	computer_non-face	0.726986
179.978000	0.610910	event_friend_reward	0.527307
174.752330	0.527307	friend_face	0.527307
185.830320	0.603380	event_stranger_reward	0.634894
181.411590	0.634894	stranger_face	0.634894
191.664250	0.605400	event_computer_punish	0.733245
187.246690	0.733245	computer_non-face	0.733245
197.508770	0.605370	missed_trial	n/a
204.163530	0.604630	event_stranger_reward	0.525855
198.937350	0.525855	stranger_face	0.525855
210.814040	0.603670	event_friend_reward	0.624792
205.588410	0.624792	friend_face	0.624792
217.455860	0.613670	event_computer_reward	0.732540
212.230930	0.732540	computer_non-face	0.732540
224.116230	0.605170	event_friend_punish	0.623561
218.891430	0.623561	friend_face	0.623561
231.567630	0.604490	event_computer_punish	0.315436
227.149860	0.315436	computer_non-face	0.315436
239.025600	0.612520	event_friend_punish	0.422944
234.607390	0.422944	friend_face	0.422944
249.713100	0.605500	event_computer_punish	0.418073
245.295620	0.418073	computer_non-face	0.418073
254.740830	0.603680	event_computer_punish	0.633522
251.130510	0.633522	computer_non-face	0.633522
261.390930	0.611370	event_friend_punish	0.732322
256.164760	0.732322	friend_face	0.732322
269.654880	0.605740	event_computer_reward	0.417726
264.429530	0.417726	computer_non-face	0.417726
283.575160	0.603370	event_stranger_reward	0.523140
279.157750	0.523140	stranger_face	0.523140
291.024170	0.606130	event_computer_reward	0.524533
286.606350	0.524533	computer_non-face	0.524533
296.062200	0.605980	event_friend_punish	2.580028
292.451350	2.580028	friend_face	2.580028
303.514650	0.604850	event_computer_neutral	0.534440
299.096900	0.534440	computer_non-face	0.534440
311.781950	0.604680	event_stranger_punish	0.524504
306.556430	0.524504	stranger_face	0.524504
317.625400	0.604950	event_friend_reward	0.423148
313.208130	0.423148	friend_face	0.423148
323.460170	0.604310	event_computer_reward	1.971556
319.042970	1.971556	computer_non-face	1.971556
330.112030	0.604640	event_stranger_punish	1.345114
324.886900	1.345114	stranger_face	1.345114
335.140320	0.604860	event_computer_reward	0.417538
331.530360	0.417538	computer_non-face	0.417538
341.781980	0.605820	event_computer_punish	1.859981
338.172150	1.859981	computer_non-face	1.859981
351.666050	0.605310	event_stranger_reward	0.424042
346.440860	0.424042	stranger_face	0.424042
359.926330	0.605010	event_computer_neutral	0.315082
354.700320	0.315082	computer_non-face	0.315082
364.964320	0.605200	event_stranger_reward	0.426781
361.354860	0.426781	stranger_face	0.426781
373.231170	0.606230	event_stranger_punish	0.427609
369.620900	0.427609	stranger_face	0.427609
381.499480	0.604860	event_friend_reward	1.859140
376.273700	1.859140	friend_face	1.859140
391.381040	0.605360	event_stranger_reward	1.142547
386.156000	1.142547	stranger_face	1.142547
397.225130	0.604370	event_friend_punish	0.524413
392.807700	0.524413	friend_face	0.524413
